"id","titulo","anio","pais","idioma","duracion","presupuesto","ingresos_mundiales","ingresos_usa","calificacion_promedio","num_votos","genero","ingresos_internacionales","idioma_ingles","pais_fuerte","duracion_cuadrado","outlier_presupuesto","outlier_ingresos","outlier_duracion","log_presupuesto","log_ingresos_int","roi","ratio_ingreso_presupuesto","categoria_presupuesto","decada"
"tt0035423","Kate & Leopold",2001,"USA","English",118,4.8e+07,76019048,47121859,6.4,77852,"Comedy, Fantasy, Romance",28897189,1,1,13924,FALSE,FALSE,FALSE,17.6867115897055,17.1792549165214,-0.397975229166667,0.602024770833333,"Medio","2000s"
"tt0118589","Glitter",2001,"USA","English",104,2.2e+07,5271666,4274407,2.2,21298,"Drama, Music, Romance",997259,1,1,10816,FALSE,FALSE,FALSE,16.9065530567771,13.8127667972932,-0.954670045454545,0.0453299545454545,"Medio","2000s"
"tt0120630","Galline in fuga",2000,"UK, USA, France","English",84,4.5e+07,224834564,106834564,7,173987,"Animation, Adventure, Comedy",1.18e+08,1,0,7056,FALSE,FALSE,FALSE,17.6221730699568,18.5861951909045,1.62222222222222,2.62222222222222,"Medio","2000s"
"tt0120667","I Fantastici 4",2005,"USA, Germany","English",106,1e+08,333535934,154696080,5.7,307944,"Action, Adventure, Fantasy",178839854,1,0,11236,FALSE,FALSE,FALSE,18.4206807539524,19.0020012985491,0.78839854,1.78839854,"Muy Alto","2000s"
"tt0120679","Frida",2002,"Mexico, USA, Canada","English",123,1.2e+07,56298474,25885000,7.4,79690,"Biography, Drama, Romance",30413474,1,0,15129,FALSE,FALSE,FALSE,16.3004172910856,17.2303963247462,1.53445616666667,2.53445616666667,"Medio","2000s"
"tt0120681","La vera storia di Jack lo Squartatore",2001,"USA, Czech Republic, UK","English",122,3.5e+07,74558115,31602566,6.8,144714,"Horror, Mystery, Thriller",42955549,1,0,14884,FALSE,FALSE,FALSE,17.3708586480251,17.5756764180696,0.2273014,1.2273014,"Medio","2000s"
"tt0120737","Il Signore degli Anelli - La compagnia dell'Anello",2001,"New Zealand, USA","English",178,9.3e+07,887934303,315544750,8.8,1619920,"Action, Adventure, Drama",572389553,1,0,31684,FALSE,TRUE,FALSE,18.3481100618702,20.1653303560042,5.15472637634409,6.15472637634409,"Alto","2000s"
"tt0120753","The Million Dollar Hotel",2000,"Germany, UK, USA","English",122,8e+06,105983,59989,5.9,20570,"Drama, Mystery, Thriller",45994,1,0,14884,FALSE,FALSE,FALSE,15.8949522246441,10.7362879739113,-0.99425075,0.00574925,"Bajo","2000s"
"tt0120755","Mission: Impossible II",2000,"USA, Germany","English",123,1.25e+08,546388108,215409889,6.1,308586,"Action, Adventure, Thriller",330978219,1,0,15129,FALSE,TRUE,FALSE,18.6438243032666,19.6175631305722,1.647825752,2.647825752,"Muy Alto","2000s"
"tt0120804","Resident Evil",2002,"UK, Germany, USA","English",100,3.3e+07,102984862,40119709,6.7,243241,"Action, Horror, Sci-Fi",62865153,1,0,10000,FALSE,FALSE,FALSE,17.3120181497338,17.9565025777002,0.905004636363636,1.90500463636364,"Medio","2000s"
"tt0120824","The Shipping News - Ombre dal profondo",2001,"Canada, USA","English",111,3.8e+07,24690441,11434216,6.7,31614,"Drama",13256225,1,0,12321,FALSE,FALSE,FALSE,17.4530967440064,16.3999778868267,-0.651151973684211,0.348848026315789,"Medio","2000s"
"tt0120903","X-Men",2000,"USA","English",104,7.5e+07,296339528,157299718,7.4,562022,"Action, Adventure, Sci-Fi",139039810,1,1,10816,FALSE,FALSE,FALSE,18.1329986848339,18.7502708601594,0.853864133333333,1.85386413333333,"Alto","2000s"
"tt0120912","Men in Black II",2002,"USA","English",88,1.4e+08,445135288,193735288,6.2,337088,"Action, Adventure, Comedy",251400000,1,1,7744,FALSE,FALSE,FALSE,18.7571529877164,19.3425558580981,0.795714285714286,1.79571428571429,"Muy Alto","2000s"
"tt0120913","Titan A.E.",2000,"USA","English",94,7.5e+07,36754634,22753426,6.6,58060,"Animation, Action, Adventure",14001208,1,1,8836,FALSE,FALSE,FALSE,18.1329986848339,16.4546542409938,-0.813317226666667,0.186682773333333,"Alto","2000s"
"tt0120917","Le follie dell'imperatore",2000,"USA","English",78,1e+08,169327687,89302687,7.3,175207,"Animation, Adventure, Comedy",80025000,1,1,6084,FALSE,FALSE,FALSE,18.4206807539524,18.1978496563163,-0.19975,0.80025,"Muy Alto","2000s"
"tt0121164","La sposa cadavere",2005,"USA, UK","English",77,4e+07,118090836,53359111,7.3,237421,"Animation, Drama, Family",64731725,1,0,5929,FALSE,FALSE,FALSE,17.5043900370782,17.985761994773,0.618293125,1.618293125,"Medio","2000s"
"tt0121765","Star Wars: Episodio II - L'attacco dei cloni",2002,"USA","English",142,1.15e+08,653779970,310676740,6.5,625761,"Action, Adventure, Fantasy",343103230,1,1,20164,FALSE,TRUE,FALSE,18.5604426950232,19.6535419248639,1.98350634782609,2.98350634782609,"Muy Alto","2000s"
"tt0121766","Star Wars: Episodio III - La vendetta dei Sith",2005,"USA","English",140,1.13e+08,868390560,380270577,7.5,694239,"Action, Adventure, Fantasy",488119983,1,1,19600,FALSE,TRUE,FALSE,18.5428983855262,20.0060718024491,3.31964586725664,4.31964586725664,"Muy Alto","2000s"
"tt0122459","Return to Me",2000,"USA","English",115,2.4e+07,36609995,32722798,6.9,19351,"Comedy, Drama, Romance",3887197,1,1,13225,FALSE,FALSE,FALSE,16.9935644299789,15.1731991475645,-0.838033458333333,0.161966541666667,"Medio","2000s"
"tt0125022","Heartbreakers - Vizio di famiglia",2001,"USA","English",123,3.5e+07,57756408,40336607,6.2,50857,"Comedy, Crime, Romance",17419801,1,1,15129,FALSE,FALSE,FALSE,17.3708586480251,16.6731181630783,-0.5022914,0.4977086,"Medio","2000s"
"tt0126029","Shrek",2001,"USA","English",90,6e+07,487769799,267665011,7.8,600116,"Animation, Adventure, Comedy",220104788,1,1,8100,FALSE,FALSE,FALSE,17.909855136853,19.2096143045517,2.66841313333333,3.66841313333333,"Alto","2000s"
"tt0130623","Dinosauri",2000,"USA","English",82,127500000,349822765,137748063,6.5,51947,"Animation, Adventure, Family",212074702,1,1,6724,FALSE,FALSE,FALSE,18.6636269304059,19.1724491432091,0.663330996078431,1.66333099607843,"Muy Alto","2000s"
"tt0131704","Le avventure di Rocky e Bullwinkle",2000,"USA, Germany, South Korea, India, Canada","English",92,7.6e+07,35134820,26005820,4.2,19101,"Animation, Adventure, Comedy",9129000,1,0,8464,FALSE,FALSE,FALSE,18.1462439114085,16.0269668270882,-0.879881578947368,0.120118421052632,"Alto","2000s"
"tt0132245","Driven",2001,"USA, Canada, Australia","English",116,9.4e+07,54744738,32720065,4.6,38891,"Action, Drama, Sport",22024673,1,0,13456,FALSE,FALSE,FALSE,18.3588053508726,16.9076739283149,-0.765694968085106,0.234305031914894,"Alto","2000s"
"tt0133152","Planet of the Apes - Il pianeta delle scimmie",2001,"USA","English",119,1e+08,362211740,180011740,5.7,207951,"Action, Adventure, Sci-Fi",182200000,1,1,14161,FALSE,FALSE,FALSE,18.4206807539524,19.0206155482786,0.822,1.822,"Muy Alto","2000s"
"tt0133240","Il pianeta del tesoro",2002,"USA","English",95,1.4e+08,110041363,38176783,7.2,99484,"Animation, Adventure, Family",71864580,1,1,9025,FALSE,FALSE,FALSE,18.7571529877164,18.0902940865741,-0.486681571428571,0.513318428571429,"Muy Alto","2000s"
"tt0134084","Scream 3",2000,"USA","English",116,4e+07,161834276,89143175,5.6,121153,"Horror, Mystery",72691101,1,1,13456,FALSE,FALSE,FALSE,17.5043900370782,18.1017295416155,0.817277525,1.817277525,"Medio","2000s"
"tt0134847","Pitch Black",2000,"USA, Australia","English",109,2.3e+07,53187659,39240659,7.1,222655,"Action, Horror, Sci-Fi",13947000,1,0,11881,FALSE,FALSE,FALSE,16.9510048173717,16.4507750610408,-0.393608695652174,0.606391304347826,"Medio","2000s"
"tt0134983","Supernova",2000,"USA, Switzerland","English",90,9e+07,14828081,14230455,4.9,16884,"Horror, Sci-Fi, Thriller",597626,1,0,8100,FALSE,FALSE,FALSE,18.3153202394057,13.300722092503,-0.993359711111111,0.00664028888888889,"Alto","2000s"
"tt0138524","Prima ti sposo, poi ti rovino",2003,"USA","English",100,6e+07,120801243,35327628,6.2,89972,"Comedy, Crime, Romance",85473615,1,1,10000,FALSE,FALSE,FALSE,17.909855136853,18.2637183014896,0.42456025,1.42456025,"Alto","2000s"
"tt0138749","La strada per El Dorado",2000,"USA","English",89,9.5e+07,76432727,50863742,6.9,82217,"Animation, Adventure, Comedy",25568985,1,1,7921,FALSE,FALSE,FALSE,18.3693874600911,17.0568906906344,-0.730852789473684,0.269147210526316,"Alto","2000s"
"tt0138946","The Yards",2000,"USA","English",115,2.4e+07,924036,889352,6.4,19633,"Crime, Drama, Romance",34684,1,1,13225,FALSE,FALSE,FALSE,16.9935644299789,10.4540625958194,-0.998554833333333,0.00144516666666667,"Medio","2000s"
"tt0139654","Training Day",2001,"USA","English",122,4.5e+07,104876233,76631907,7.7,381509,"Crime, Drama, Thriller",28244326,1,1,14884,FALSE,FALSE,FALSE,17.6221730699568,17.1564031812316,-0.372348311111111,0.627651688888889,"Medio","2000s"
"tt0141926","U-571",2000,"France, USA, Italy","English",116,6.2e+07,127666415,77122415,6.6,75749,"Action, War",50544000,1,0,13456,FALSE,FALSE,FALSE,17.9426449591384,17.7383548218087,-0.184774193548387,0.815225806451613,"Alto","2000s"
"tt0144084","American Psycho",2000,"USA, Canada","English",101,7e+06,34266564,15070285,7.6,473137,"Comedy, Crime, Drama",19196279,1,0,10201,FALSE,FALSE,FALSE,15.7614208498767,16.7702270682261,1.74232557142857,2.74232557142857,"Bajo","2000s"
"tt0144528","La famiglia del professore matto",2000,"USA","English",106,8.4e+07,166339890,123309890,4.4,47646,"Comedy, Romance, Sci-Fi",43030000,1,1,11236,FALSE,FALSE,FALSE,18.2463273687124,17.5774081280544,-0.487738095238095,0.512261904761905,"Alto","2000s"
"tt0144964","Highlander: Endgame",2000,"UK, USA, Luxembourg","English",87,2.5e+07,15843608,12811858,4.6,19127,"Action, Adventure, Fantasy",3031750,1,0,7569,FALSE,FALSE,FALSE,17.0343864228325,14.9246508983615,-0.87873,0.12127,"Medio","2000s"
"tt0145487","Spider-Man",2002,"USA","English",121,1.39e+08,825025036,407022860,7.3,675212,"Action, Adventure, Sci-Fi",418002176,1,1,14641,FALSE,TRUE,FALSE,18.7499844982892,19.8509971986094,2.00720989928058,3.00720989928058,"Muy Alto","2000s"
"tt0146309","Thirteen Days",2000,"USA","English",145,8e+07,66579890,34592089,7.3,53099,"Drama, History, Thriller",31987801,1,1,21025,FALSE,FALSE,FALSE,18.1975372051382,17.2808652005936,-0.6001524875,0.3998475125,"Alto","2000s"
"tt0146316","Lara Croft: Tomb Raider",2001,"USA, UK, Japan, Germany","English",100,1.15e+08,274703340,131168070,5.8,195155,"Action, Adventure, Fantasy",143535270,1,0,10000,FALSE,FALSE,FALSE,18.5604426950232,18.7820913539031,0.248132782608696,1.2481327826087,"Muy Alto","2000s"
