"id","titulo","anio","ingresos_internacionales","presupuesto","idioma_ingles","pais_fuerte","duracion","duracion_cuadrado","categoria_presupuesto","decada"
"tt0035423","Kate & Leopold",2001,28897189,4.8e+07,1,1,118,13924,"Medio","2000s"
"tt0118589","Glitter",2001,997259,2.2e+07,1,1,104,10816,"Medio","2000s"
"tt0120630","Galline in fuga",2000,1.18e+08,4.5e+07,1,0,84,7056,"Medio","2000s"
"tt0120667","I Fantastici 4",2005,178839854,1e+08,1,0,106,11236,"Muy Alto","2000s"
"tt0120679","Frida",2002,30413474,1.2e+07,1,0,123,15129,"Medio","2000s"
"tt0120681","La vera storia di Jack lo Squartatore",2001,42955549,3.5e+07,1,0,122,14884,"Medio","2000s"
"tt0120737","Il Signore degli Anelli - La compagnia dell'Anello",2001,572389553,9.3e+07,1,0,178,31684,"Alto","2000s"
"tt0120753","The Million Dollar Hotel",2000,45994,8e+06,1,0,122,14884,"Bajo","2000s"
"tt0120755","Mission: Impossible II",2000,330978219,1.25e+08,1,0,123,15129,"Muy Alto","2000s"
"tt0120804","Resident Evil",2002,62865153,3.3e+07,1,0,100,10000,"Medio","2000s"
"tt0120824","The Shipping News - Ombre dal profondo",2001,13256225,3.8e+07,1,0,111,12321,"Medio","2000s"
"tt0120903","X-Men",2000,139039810,7.5e+07,1,1,104,10816,"Alto","2000s"
"tt0120912","Men in Black II",2002,251400000,1.4e+08,1,1,88,7744,"Muy Alto","2000s"
"tt0120913","Titan A.E.",2000,14001208,7.5e+07,1,1,94,8836,"Alto","2000s"
"tt0120917","Le follie dell'imperatore",2000,80025000,1e+08,1,1,78,6084,"Muy Alto","2000s"
"tt0121164","La sposa cadavere",2005,64731725,4e+07,1,0,77,5929,"Medio","2000s"
"tt0121765","Star Wars: Episodio II - L'attacco dei cloni",2002,343103230,1.15e+08,1,1,142,20164,"Muy Alto","2000s"
"tt0121766","Star Wars: Episodio III - La vendetta dei Sith",2005,488119983,1.13e+08,1,1,140,19600,"Muy Alto","2000s"
"tt0122459","Return to Me",2000,3887197,2.4e+07,1,1,115,13225,"Medio","2000s"
"tt0125022","Heartbreakers - Vizio di famiglia",2001,17419801,3.5e+07,1,1,123,15129,"Medio","2000s"
"tt0126029","Shrek",2001,220104788,6e+07,1,1,90,8100,"Alto","2000s"
"tt0130623","Dinosauri",2000,212074702,127500000,1,1,82,6724,"Muy Alto","2000s"
"tt0131704","Le avventure di Rocky e Bullwinkle",2000,9129000,7.6e+07,1,0,92,8464,"Alto","2000s"
